dataset,method,seed,fs_k,fs_threshold,n_features_orig,accuracy,f1,final_mse,converged,iterations,total_time_s
monk_1,LM_Residual,42,10,0.9,17,0.8055555820465088,0.7586206896551724,0.2016129046678543,False,400,1.1051119210023899
monk_1,LM_Residual,1042,10,0.9,17,0.5370370149612427,0.6323529411764706,0.3461155593395233,False,66,0.4264594999986002
monk_1,LM_Residual,2042,10,0.9,17,0.3888888955116272,0.7903225806451613,0.15980921685695648,False,89,0.6570750639948528
monk_1,LM_Residual,3042,10,0.9,17,0.9166666865348816,0.9090909090909091,0.10440730303525925,False,107,0.6430238360044314
monk_1,LM_Residual,4042,10,0.9,17,0.6388888955116272,0.43478260869565216,0.3870967626571655,True,44,0.25896250500227325
monk_1,LM_Residual,5042,10,0.9,17,0.9722222089767456,0.9714285714285714,0.016129031777381897,True,28,0.17628385099669686
monk_1,LM_Residual,6042,10,0.9,17,0.75,0.8780487804878049,0.1445501297712326,False,163,1.077389703001245
monk_1,LM_Residual,7042,10,0.9,17,1.0,1.0,0.0,True,57,0.4057938949990785
monk_1,LM_Residual,8042,10,0.9,17,0.3333333432674408,0.8571428571428571,0.11182184517383575,False,61,0.40775711800233694
monk_1,LM_Residual,9042,10,0.9,17,0.6111111044883728,0.36363636363636365,0.3870967626571655,False,400,0.4684690779977245
monk_1,LM_Residual,10042,10,0.9,17,0.5462962985038757,0.5775862068965517,0.4677419364452362,False,400,0.183891170003335
monk_1,LM_Residual,11042,10,0.9,17,0.3333333432674408,0.8,0.13566561043262482,False,192,1.169257325003855
monk_1,LM_Residual,12042,10,0.9,17,0.0,0.8,0.15801651775836945,False,104,0.7468254679988604
monk_1,LM_Residual,13042,10,0.9,17,0.8611111044883728,0.92,0.04132002964615822,False,173,1.0729094330017688
monk_1,LM_Residual,14042,10,0.9,17,0.6527777910232544,0.8470588235294118,0.1628606766462326,False,142,1.0433049319981365
monk_1,LM_Residual,15042,10,0.9,17,0.7731481194496155,0.9230769230769231,0.045569200068712234,False,97,0.55547279700113
monk_1,LM_Residual,16042,10,0.9,17,0.5740740895271301,0.65,0.17247559130191803,False,188,1.134080500996788
monk_1,LM_Residual,17042,10,0.9,17,0.7083333134651184,0.7741935483870968,0.21703115105628967,False,185,1.115467992000049
monk_1,LM_Residual,18042,10,0.9,17,0.3333333432674408,0.6875,0.18361100554466248,False,132,0.6903359619973344
monk_1,LM_Residual,19042,10,0.9,17,0.9444444179534912,0.9411764705882353,0.04032257944345474,False,400,0.6729297130004852
monk_1,LM_Residual,20042,10,0.9,17,0.7222222089767456,0.6153846153846154,0.2983871102333069,True,50,0.2729851800031611
monk_1,LM_Residual,21042,10,0.9,17,0.8888888955116272,0.8947368421052632,0.08064515888690948,True,88,0.4806343910022406
monk_1,LM_Residual,22042,10,0.9,17,0.5,0.75,0.40104201436042786,False,54,0.28685913699882803
monk_1,LM_Residual,23042,10,0.9,17,0.5833333134651184,0.7058823529411765,0.42741936445236206,True,67,0.33187408599769697
monk_1,LM_Residual,24042,10,0.9,17,0.75,1.0,0.03281074017286301,False,149,0.822561269000289
monk_1,LM_Residual,25042,10,0.9,17,0.5694444179534912,0.8923076923076924,0.08866896480321884,False,158,0.9480985140035045
monk_1,LM_Residual,26042,10,0.9,17,0.5555555820465088,0.6451612903225806,0.22477708756923676,False,72,0.43659967799612787
monk_1,LM_Residual,27042,10,0.9,17,0.25,0.7058823529411765,0.27192452549934387,False,86,0.5064207499963231
monk_1,LM_Residual,28042,10,0.9,17,0.6759259104728699,0.5205479452054794,0.08086028695106506,False,85,0.4364676849945681
monk_1,LM_Residual,29042,10,0.9,17,0.2083333283662796,0.0,0.3502611815929413,False,62,0.32068303899723105
